"id_respondent","cultural_choice","cultural.choice_order","occupation_card","team"
"group1-06-04-25_19:25","были в мариинском театре в прошлом месяце",1,"школьный учитель","group1"
"group1-06-04-25_19:25","были в мариинском театре в прошлом месяце",2,"юрист","group1"
"group1-06-04-25_19:25","были в мариинском театре в прошлом месяце",3,"лейтенант вмф","group1"
"group1-06-04-25_19:25","пьют баночное пиво из супермаркета",1,"продавец-консультант","group1"
"group1-06-04-25_19:25","пьют баночное пиво из супермаркета",2,"отделочник-универсал","group1"
"group1-06-04-25_19:25","пьют баночное пиво из супермаркета",3,"прораб","group1"
"group1-06-04-25_19:25","не празднуют 8 марта и 23 февраля",1,"охранник","group1"
"group1-06-04-25_19:25","не празднуют 8 марта и 23 февраля",2,"водитель такси","group1"
"group1-06-04-25_19:25","не празднуют 8 марта и 23 февраля",3,"финансовый консультант","group1"
"group1-06-04-25_19:25","регулярно посещают церковь",1,"врач отоларинголог","group1"
"group1-06-04-25_19:25","регулярно посещают церковь",2,"медсестра","group1"
"group1-06-04-25_19:25","регулярно посещают церковь",3,"психотерапевт","group1"
"group1-06-04-25_19:25","имеют абонемент в фитнес-клуб",1,"водитель бензовоза","group1"
"group1-06-04-25_19:25","имеют абонемент в фитнес-клуб",2,"повар","group1"
"group1-06-04-25_19:25","имеют абонемент в фитнес-клуб",3,"научный сотрудник","group1"
"group1-06-04-25_19:25","ежедневно проводят в соцсетях свыше двух часов",1,"разработчик программного обеспечения","group1"
"group1-06-04-25_19:25","ежедневно проводят в соцсетях свыше двух часов",2,"веб-дизайнер","group1"
"group1-06-04-25_19:25","ежедневно проводят в соцсетях свыше двух часов",3,"дизайнер интерьеров","group1"
"group1-06-04-25_19:25","покупают в среднем две книги в месяц",1,"школьный учитель","group1"
"group1-06-04-25_19:25","покупают в среднем две книги в месяц",2,"повар","group1"
"group1-06-04-25_19:25","покупают в среднем две книги в месяц",3,"воспитатель","group1"
"group1-06-04-25_19:25","любят салат оливье",1,"электромонтер","group1"
"group1-06-04-25_19:25","любят салат оливье",2,"токарь","group1"
"group1-06-04-25_19:25","любят салат оливье",3,"бухгалтер","group1"
"group1-06-04-25_19:25","имеют троих детей",1,"продавец-консультант","group1"
"group1-06-04-25_19:25","имеют троих детей",2,"воспитатель","group1"
"group1-06-04-25_19:25","имеют троих детей",3,"разработчик программного обеспечения","group1"
"group1-06-04-25_19:25","старше 60 лет",1,"уборщик помещений","group1"
"group1-06-04-25_19:25","старше 60 лет",2,"медсестра","group1"
"group1-06-04-25_19:25","старше 60 лет",3,"мастер маникюра","group1"
"group1-06-04-25_19:25","регулярно выезжают на шашлыки",1,"начальник отдела кадров","group1"
"group1-06-04-25_19:25","регулярно выезжают на шашлыки",2,"руководитель отдела маркетинга и рекламы","group1"
"group1-06-04-25_19:25","регулярно выезжают на шашлыки",3,"начальник отдела технического контроля","group1"
"group1-06-04-25_19:25","носят натуральную дубленку или шубу из натурального меха",1,"бухгалтер","group1"
"group1-06-04-25_19:25","носят натуральную дубленку или шубу из натурального меха",2,"юрист","group1"
"group1-06-04-25_19:25","носят натуральную дубленку или шубу из натурального меха",3,"психотерапевт","group1"
"group1-06-04-25_19:25","любят песни шамана",1,"артист оркестра","group1"
"group1-06-04-25_19:25","любят песни шамана",2,"охранник","group1"
"group1-06-04-25_19:25","любят песни шамана",3,"водитель такси","group1"
"group1-06-04-25_19:25","бывали на каникулах в италии",1,"юрист","group1"
"group1-06-04-25_19:25","бывали на каникулах в италии",2,"руководитель отдела маркетинга и рекламы","group1"
"group1-06-04-25_19:25","бывали на каникулах в италии",3,"врач отоларинголог","group1"
"group1-06-04-25_19:25","зарабатывают больше 200 тысяч рублей в месяц",1,"юрист","group1"
"group1-06-04-25_19:25","зарабатывают больше 200 тысяч рублей в месяц",2,"научный сотрудник","group1"
"group1-06-04-25_19:25","зарабатывают больше 200 тысяч рублей в месяц",3,"руководитель отдела маркетинга и рекламы","group1"
"group1-06-04-25_19:25","младше 30 лет",1,"мастер маникюра","group1"
"group1-06-04-25_19:25","младше 30 лет",2,"разработчик программного обеспечения","group1"
"group1-06-04-25_19:25","младше 30 лет",3,"агент по недвижимости","group1"
"group1-06-04-25_19:25","знают французский",1,"научный сотрудник","group1"
"group1-06-04-25_19:25","знают французский",2,"начальник отдела кадров","group1"
"group1-06-04-25_19:25","знают французский",3,"начальник отдела технического контроля","group1"
"group1-06-04-25_19:25","живут в мурино",1,"разработчик программного обеспечения","group1"
"group1-06-04-25_19:25","живут в мурино",2,"агент по недвижимости","group1"
"group1-06-04-25_19:25","живут в мурино",3,"школьный учитель","group1"
"group1-06-04-25_19:25","носят adidas",1,"водитель такси","group1"
"group1-06-04-25_19:25","носят adidas",2,"воспитатель","group1"
"group1-06-04-25_19:25","носят adidas",3,"повар","group1"
"group1-06-04-25_19:25","отдыхают в турции",1,"руководитель отдела маркетинга и рекламы","group1"
"group1-06-04-25_19:25","отдыхают в турции",2,"финансовый консультант","group1"
"group1-06-04-25_19:25","отдыхают в турции",3,"менеджер по продажам","group1"
"group1-06-04-25_19:25","покупают продукты в вкусвилле",1,"юрист","group1"
"group1-06-04-25_19:25","покупают продукты в вкусвилле",2,"инженер-конструктор","group1"
"group1-06-04-25_19:25","покупают продукты в вкусвилле",3,"администратор гостиницы","group1"
"group1-06-04-25_19:25","были на спортивном матче в последние полгода",1,"водитель такси","group1"
"group1-06-04-25_19:25","были на спортивном матче в последние полгода",2,"отделочник-универсал","group1"
"group1-06-04-25_19:25","были на спортивном матче в последние полгода",3,"начальник отдела технического контроля","group1"
"group1-06-04-25_19:25","смотрят фестивальное кино",1,"лейтенант вмф","group1"
"group1-06-04-25_19:25","смотрят фестивальное кино",2,"разработчик программного обеспечения","group1"
"group1-06-04-25_19:25","смотрят фестивальное кино",3,"психотерапевт","group1"
"group1-06-04-25_19:25","прыгали с парашютом",1,"юрист","group1"
"group1-06-04-25_19:25","прыгали с парашютом",2,"охранник","group1"
"group1-06-04-25_19:25","прыгали с парашютом",3,"лейтенант вмф","group1"
"group1-06-04-25_19:25","вегетарианцы",1,"бариста","group1"
"group1-06-04-25_19:25","вегетарианцы",2,"официант","group1"
"group1-06-04-25_19:25","вегетарианцы",3,"администратор гостиницы","group1"
"group1-06-04-25_19:25","занимаются йогой",1,"бухгалтер","group1"
"group1-06-04-25_19:25","занимаются йогой",2,"секретарь","group1"
"group1-06-04-25_19:25","занимаются йогой",3,"врач отоларинголог","group1"
"group1-06-04-25_19:25","регулярно посещают психолога",1,"бариста","group1"
"group1-06-04-25_19:25","регулярно посещают психолога",2,"воспитатель","group1"
"group1-06-04-25_19:25","регулярно посещают психолога",3,"школьный учитель","group1"
"group1-06-04-25_21:02","живут в мурино",1,"водитель такси","group1"
"group1-06-04-25_21:02","живут в мурино",2,"отделочник-универсал","group1"
"group1-06-04-25_21:02","живут в мурино",3,"школьный учитель","group1"
"group1-06-04-25_21:02","занимаются йогой",1,"секретарь","group1"
"group1-06-04-25_21:02","занимаются йогой",2,"юрист","group1"
"group1-06-04-25_21:02","занимаются йогой",3,"психотерапевт","group1"
"group1-06-04-25_21:02","были в мариинском театре в прошлом месяце",1,"юрист","group1"
"group1-06-04-25_21:02","были в мариинском театре в прошлом месяце",2,"разработчик программного обеспечения","group1"
"group1-06-04-25_21:02","были в мариинском театре в прошлом месяце",3,"университетский профессор","group1"
"group1-06-04-25_21:02","пьют баночное пиво из супермаркета",1,"охранник","group1"
"group1-06-04-25_21:02","пьют баночное пиво из супермаркета",2,"администратор гостиницы","group1"
"group1-06-04-25_21:02","пьют баночное пиво из супермаркета",3,"артист оркестра","group1"
"group1-06-04-25_21:02","регулярно посещают психолога",1,"охранник","group1"
"group1-06-04-25_21:02","регулярно посещают психолога",2,"школьный учитель","group1"
"group1-06-04-25_21:02","регулярно посещают психолога",3,"начальник отдела кадров","group1"
"group1-06-04-25_21:02","не празднуют 8 марта и 23 февраля",1,"веб-дизайнер","group1"
"group1-06-04-25_21:02","не празднуют 8 марта и 23 февраля",2,"разработчик программного обеспечения","group1"
"group1-06-04-25_21:02","регулярно посещают церковь",1,"бухгалтер","group1"
"group1-06-04-25_21:02","регулярно посещают церковь",2,"прораб","group1"
"group1-06-04-25_21:02","регулярно посещают церковь",3,"инженер-конструктор","group1"
"group1-06-04-25_21:02","имеют абонемент в фитнес-клуб",1,"школьный учитель","group1"
"group1-06-04-25_21:02","имеют абонемент в фитнес-клуб",2,"врач отоларинголог","group1"
"group1-06-04-25_21:02","имеют абонемент в фитнес-клуб",3,"начальник отдела кадров","group1"
"group1-06-04-25_21:02","ежедневно проводят в соцсетях свыше двух часов",1,"разработчик программного обеспечения","group1"
"group1-06-04-25_21:02","ежедневно проводят в соцсетях свыше двух часов",2,"руководитель отдела маркетинга и рекламы","group1"
"group1-06-04-25_21:02","ежедневно проводят в соцсетях свыше двух часов",3,"менеджер по продажам","group1"
"group1-06-04-25_21:02","смотрят телеканал нтв",1,"уборщик помещений","group1"
"group1-06-04-25_21:02","смотрят телеканал нтв",2,"официант","group1"
"group1-06-04-25_21:02","смотрят телеканал нтв",3,"отделочник-универсал","group1"
"group1-06-04-25_21:02","покупают в среднем две книги в месяц",1,"школьный учитель","group1"
"group1-06-04-25_21:02","покупают в среднем две книги в месяц",2,"университетский профессор","group1"
"group1-06-04-25_21:02","покупают в среднем две книги в месяц",3,"научный сотрудник","group1"
"group1-06-04-25_21:02","любят салат оливье",1,"водитель такси","group1"
"group1-06-04-25_21:02","любят салат оливье",2,"медсестра","group1"
"group1-06-04-25_21:02","любят салат оливье",3,"кассир","group1"
"group1-06-04-25_21:02","старше 60 лет",1,"университетский профессор","group1"
"group1-06-04-25_21:02","старше 60 лет",2,"финансовый консультант","group1"
"group1-06-04-25_21:02","старше 60 лет",3,"начальник отдела технического контроля","group1"
"group1-06-04-25_21:02","знают французский",1,"школьный учитель","group1"
"group1-06-04-25_21:02","знают французский",2,"университетский профессор","group1"
"group1-06-04-25_21:02","знают французский",3,"юрист","group1"
"group1-06-04-25_21:02","отдыхают в турции",1,"прораб","group1"
"group1-06-04-25_21:02","отдыхают в турции",2,"бухгалтер","group1"
"group1-06-04-25_21:02","отдыхают в турции",3,"секретарь","group1"
"group1-06-04-25_21:02","были на спортивном матче в последние полгода",1,"водитель бензовоза","group1"
"group1-06-04-25_21:02","были на спортивном матче в последние полгода",2,"инженер-конструктор","group1"
"group1-06-04-25_21:02","были на спортивном матче в последние полгода",3,"агент по недвижимости","group1"
"group1-06-04-25_21:02","зарабатывают больше 200 тысяч рублей в месяц",1,"юрист","group1"
"group1-06-04-25_21:02","зарабатывают больше 200 тысяч рублей в месяц",2,"университетский профессор","group1"
"group1-06-04-25_21:02","зарабатывают больше 200 тысяч рублей в месяц",3,"руководитель отдела маркетинга и рекламы","group1"
"group1-06-04-25_21:02","читают донцову",1,"бухгалтер","group1"
"group1-06-04-25_21:02","читают донцову",2,"секретарь","group1"
"group1-06-04-25_21:02","читают донцову",3,"официант","group1"
"group1-06-04-25_21:02","носят adidas",1,"агент по недвижимости","group1"
"group1-06-04-25_21:02","носят adidas",2,"водитель такси","group1"
"group1-06-04-25_21:02","носят adidas",3,"научный сотрудник","group1"
"group1-06-04-25_21:02","регулярно выезжают на шашлыки",1,"руководитель отдела маркетинга и рекламы","group1"
"group1-06-04-25_21:02","регулярно выезжают на шашлыки",2,"начальник отдела технического контроля","group1"
"group1-06-04-25_21:02","регулярно выезжают на шашлыки",3,"разработчик программного обеспечения","group1"
"group1-06-04-25_21:02","носят натуральную дубленку или шубу из натурального меха",1,"юрист","group1"
"group1-06-04-25_21:02","носят натуральную дубленку или шубу из натурального меха",2,"университетский профессор","group1"
"group1-06-04-25_21:02","носят натуральную дубленку или шубу из натурального меха",3,"разработчик программного обеспечения","group1"
"group1-06-04-25_21:02","не ходят к зубному врачу пока не болят зубы",1,"токарь","group1"
"group1-06-04-25_21:02","не ходят к зубному врачу пока не болят зубы",2,"грузчик","group1"
"group1-06-04-25_21:02","не ходят к зубному врачу пока не болят зубы",3,"электромонтер","group1"
"group1-06-04-25_21:02","живут на петроградке",1,"юрист","group1"
"group1-06-04-25_21:02","живут на петроградке",2,"университетский профессор","group1"
"group1-06-04-25_21:02","живут на петроградке",3,"финансовый консультант","group1"
"group1-06-04-25_21:02","придерживаются оппозиционных политических взглядов",1,"юрист","group1"
"group1-06-04-25_21:02","придерживаются оппозиционных политических взглядов",2,"научный сотрудник","group1"
"group1-06-04-25_21:02","придерживаются оппозиционных политических взглядов",3,"психотерапевт","group1"
"group1-06-04-25_21:02","бывали на каникулах в италии",1,"разработчик программного обеспечения","group1"
"group1-06-04-25_21:02","бывали на каникулах в италии",2,"юрист","group1"
"group1-06-04-25_21:02","бывали на каникулах в италии",3,"университетский профессор","group1"
"group1-06-04-25_21:02","младше 30 лет",1,"официант","group1"
"group1-06-04-25_21:02","младше 30 лет",2,"мастер маникюра","group1"
"group1-06-04-25_21:02","младше 30 лет",3,"медсестра","group1"
"group1-06-04-25_21:02","имеют троих детей",1,"повар","group1"
"group1-06-04-25_21:02","имеют троих детей",2,"бухгалтер","group1"
"group1-06-04-25_21:02","имеют троих детей",3,"воспитатель","group1"
"group1-06-04-25_21:02","вегетарианцы",1,"бухгалтер","group1"
"group1-06-04-25_21:02","вегетарианцы",2,"секретарь","group1"
"group1-06-04-25_21:02","вегетарианцы",3,"администратор гостиницы","group1"
"group1-06-04-25_21:02","прыгали с парашютом",1,"лейтенант вмф","group1"
"group1-06-04-25_21:02","прыгали с парашютом",2,"водитель такси","group1"
"group1-06-04-25_21:02","прыгали с парашютом",3,"токарь","group1"
"group1-06-04-25_17:46","младше 30 лет",1,"лейтенант вмф","group1"
"group1-06-04-25_17:46","младше 30 лет",2,"медсестра","group1"
"group1-06-04-25_17:46","младше 30 лет",3,"веб-дизайнер","group1"
"group1-06-04-25_17:46","зарабатывают больше 200 тысяч рублей в месяц",1,"университетский профессор","group1"
"group1-06-04-25_17:46","зарабатывают больше 200 тысяч рублей в месяц",2,"токарь","group1"
"group1-06-04-25_17:46","зарабатывают больше 200 тысяч рублей в месяц",3,"архитектор","group1"
"group1-06-04-25_17:46","бывали на каникулах в италии",1,"университетский профессор","group1"
"group1-06-04-25_17:46","бывали на каникулах в италии",2,"руководитель отдела маркетинга и рекламы","group1"
"group1-06-04-25_17:46","бывали на каникулах в италии",3,"юрист","group1"
"group1-06-04-25_17:46","ежедневно проводят в соцсетях свыше двух часов",1,"бариста","group1"
"group1-06-04-25_17:46","ежедневно проводят в соцсетях свыше двух часов",2,"артист оркестра","group1"
"group1-06-04-25_17:46","ежедневно проводят в соцсетях свыше двух часов",3,"веб-дизайнер","group1"
"group1-06-04-25_17:46","старше 60 лет",1,"врач отоларинголог","group1"
"group1-06-04-25_17:46","старше 60 лет",2,"начальник отдела кадров","group1"
"group1-06-04-25_17:46","старше 60 лет",3,"школьный учитель","group1"
"group1-06-04-25_17:46","пьют фильтр-кофе или напитки на основе эспрессо",1,"секретарь","group1"
"group1-06-04-25_17:46","пьют фильтр-кофе или напитки на основе эспрессо",2,"разработчик программного обеспечения","group1"
"group1-06-04-25_17:46","пьют фильтр-кофе или напитки на основе эспрессо",3,"менеджер по продажам","group1"
"group1-06-04-25_17:46","были на спортивном матче в последние полгода",1,"водитель бензовоза","group1"
"group1-06-04-25_17:46","были на спортивном матче в последние полгода",2,"начальник отдела технического контроля","group1"
"group1-06-04-25_17:46","были на спортивном матче в последние полгода",3,"прораб","group1"
"group1-06-04-25_17:46","смотрят фестивальное кино",1,"врач отоларинголог","group1"
"group1-06-04-25_17:46","смотрят фестивальное кино",2,"администратор гостиницы","group1"
"group1-06-04-25_17:46","смотрят фестивальное кино",3,"бариста","group1"
"group1-06-04-25_17:46","пьют баночное пиво из супермаркета",1,"лейтенант вмф","group1"
"group1-06-04-25_17:46","пьют баночное пиво из супермаркета",2,"токарь","group1"
"group1-06-04-25_17:46","пьют баночное пиво из супермаркета",3,"разработчик программного обеспечения","group1"
"group1-06-04-25_17:46","покупают продукты в вкусвилле",1,"архитектор","group1"
"group1-06-04-25_17:46","покупают продукты в вкусвилле",2,"начальник отдела кадров","group1"
"group1-06-04-25_17:46","покупают продукты в вкусвилле",3,"дизайнер интерьеров","group1"
"group1-06-04-25_17:46","регулярно выезжают на шашлыки",1,"медсестра","group1"
"group1-06-04-25_17:46","регулярно выезжают на шашлыки",2,"бухгалтер","group1"
"group1-06-04-25_17:46","регулярно выезжают на шашлыки",3,"агент по недвижимости","group1"
"group1-06-04-25_17:46","носят натуральную дубленку или шубу из натурального меха",1,"менеджер по продажам","group1"
"group1-06-04-25_17:46","носят натуральную дубленку или шубу из натурального меха",2,"инженер-конструктор","group1"
"group1-06-04-25_17:46","носят натуральную дубленку или шубу из натурального меха",3,"агент по недвижимости","group1"
"group1-06-04-25_17:46","читают донцову",1,"воспитатель","group1"
"group1-06-04-25_17:46","читают донцову",2,"бухгалтер","group1"
"group1-06-04-25_17:46","читают донцову",3,"товаровед","group1"
"group1-06-04-25_17:46","отдыхают в турции",1,"психотерапевт","group1"
"group1-06-04-25_17:46","отдыхают в турции",2,"финансовый консультант","group1"
"group1-06-04-25_17:46","отдыхают в турции",3,"начальник отдела технического контроля","group1"
"group1-06-04-25_17:46","любят песни шамана",1,"повар","group1"
"group1-06-04-25_17:46","любят песни шамана",2,"мастер маникюра","group1"
"group1-06-04-25_17:46","любят песни шамана",3,"дизайнер интерьеров","group1"
"group1-06-04-25_17:46","имеют троих детей",1,"юрист","group1"
"group1-06-04-25_17:46","имеют троих детей",2,"университетский профессор","group1"
"group1-06-04-25_17:46","имеют троих детей",3,"администратор гостиницы","group1"
"group1-06-04-25_17:46","регулярно посещают церковь",1,"токарь","group1"
"group1-06-04-25_17:46","регулярно посещают церковь",2,"прораб","group1"
"group1-06-04-25_17:46","регулярно посещают церковь",3,"артист оркестра","group1"
"group1-06-04-25_17:46","имеют абонемент в фитнес-клуб",1,"психотерапевт","group1"
"group1-06-04-25_17:46","имеют абонемент в фитнес-клуб",2,"финансовый консультант","group1"
"group1-06-04-25_17:46","имеют абонемент в фитнес-клуб",3,"бухгалтер","group1"
"group1-06-04-25_17:46","были в мариинском театре в прошлом месяце",1,"врач отоларинголог","group1"
"group1-06-04-25_17:46","были в мариинском театре в прошлом месяце",2,"начальник отдела технического контроля","group1"
"group1-06-04-25_17:46","были в мариинском театре в прошлом месяце",3,"воспитатель","group1"
"group1-06-04-25_17:46","занимаются йогой",1,"научный сотрудник","group1"
"group1-06-04-25_17:46","занимаются йогой",2,"администратор гостиницы","group1"
"group1-06-04-25_17:46","занимаются йогой",3,"менеджер по продажам","group1"
"group1-06-04-25_17:46","живут на петроградке",1,"университетский профессор","group1"
"group1-06-04-25_17:46","живут на петроградке",2,"школьный учитель","group1"
"group1-06-04-25_17:46","живут на петроградке",3,"официант","group1"
"group1-06-04-25_17:46","не ходят к зубному врачу пока не болят зубы",1,"лейтенант вмф","group1"
"group1-06-04-25_17:46","не ходят к зубному врачу пока не болят зубы",2,"кассир","group1"
"group1-06-04-25_17:46","не ходят к зубному врачу пока не болят зубы",3,"артист оркестра","group1"
"group1-06-04-25_17:46","имеют подписку на онлайн-кинотеатры или стриминговые сервисы",1,"электромонтер","group1"
